,title,year,kind,genre,rating,vote,country,language,cast,director,writer,runtime
0,8 Man,1992.0,movie,"['Action', 'Sci-Fi']",5.5,93.0,['Japan'],['Japanese'],"['Kai Shishido', 'Etsushi Takahashi', 'Sachiko Ayase', 'Osamu Ohtomo', 'Jô Shishido', 'Tadao Nakamaru', 'Daisuke Shima', 'Toshihide Wakamatsu', 'Mickey Curtis', 'Robert Axelrod', 'Steve Bulen', 'Richard Cansino', 'Lara Cody', 'Juliana Donald', 'Kerrigan Mahan', 'Edie Mirman', 'Mike Reynolds', 'Michael Sorich', 'Barry Stigler', 'Kirk Thornton', 'Dan Woren']",['Yasuhiro Horiuchi'],"['Kazumasa Hirai', 'Jirô Kuwata', 'Junko Suzuki']",99.98411297440424
1,What the #$*! Do We (K)now!?,2004.0,movie,"['Documentary', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",5.3,13432.0,['United States'],"['English', 'German', 'Spanish']","['Marlee Matlin', 'Elaine Hendrix', 'John Ross Bowie', 'Robert Bailey Jr.', 'Barry Newman', 'Larry Brandenburg', 'Daniela Serra', 'James Langston Drake', 'Michele Mariana', 'Armin Shimerman', 'Robert Blanche', 'Pavel Mikoloski', 'Alex Rogers', 'Tin Tran', 'Leslie Taylor', 'Sherilyn Lawson', 'Mercedes Rose', 'Joelle Anthony', 'Dawnn Pavlonnis', 'Danny Bruno', 'Josh Santos', 'Kerensa Gimre', 'Heather Robertson', 'Patti Collins', 'Tammy Mischke', 'Justin Canfield', 'Gordon Grobelny', 'Brent Pendleton', 'Jonathan Cammon', 'Val Landrum', 'Kyle Lunde', 'Gloria Manon', 'Robert McKeehen', 'Eric Newsome', 'Kirk Thornton', 'Michelle Ruff', 'Lia Sargent', 'Michael Sorich', 'Steve Blum', 'Tom Fahn', 'Allison Gottfried', 'David Albert', 'Joseph Dispenza', 'Amit Goswami', 'John Hagelin', 'Stuart Hameroff', 'J.Z. Knight', 'Miceal Ledwith', 'Daniel Monti', 'Andrew Newberg', 'Candace Pert', 'Jeffrey Satinover', 'William Tiller', 'Fred Alan Wolf', 'Marsha Clark', 'William Joseph Elk III', 'Evan Jacobs', 'Jeff S. Dodge', 'Carol Stanzione', 'Casper Van Dien', 'Tara Walker']","['William Arntz', 'Betsy Chasse', 'Mark Vicente']","['William Arntz', 'Betsy Chasse', 'Matthew Hoffman']",60.0
2,Class of Nuke 'Em High Part II: Subhumanoid Meltdown,1991.0,movie,"['Comedy', 'Horror', 'Sci-Fi']",4.5,2177.0,['United States'],['English'],"['Brick Bronsky', 'Lisa Gaye', 'Leesa Rowland', 'Michael Kurtz', 'Scott Resnick', 'Jacki Moen', 'Robert Dawson', 'Phil Rivo', 'Erica Frank', 'Sharon E. Gardner', 'Bea Lindgren', 'Lorraine Parchment', 'Troy Fromin', 'Tyler Bowe', 'Paul Borghese', 'Amy Hilbrich', 'Brad Roth', 'Nello Scadato', 'Jean Stewart', 'Gerrard Course', 'Lindsey Dawkins', 'Darla Haun', 'Lily Hayes Kaufman', 'Jason Vance Taylor', 'Alex Pirnie', 'William J. Kulzer', 'Kaptain', 'Madison Monk', 'Greta Rubens', 'Jon Albert', 'Patricia Kaufman', 'Jerri Greene', 'Patti Williford', 'Thomas Perry', 'Wendy Burnell', 'Shane Christopher', 'Ana Debasa', 'Jesse Cole Johnson', 'Andre Lambert', 'Jeanne LeGrand', 'Julie Nine', 'Louis Ortiz', 'Glorivic Parong', 'Suzanne Solari', 'Lisa Star', 'Saint Teresa Stone', 'Billie Taylor', 'Veronica Stork', 'Elizabeth Young', 'Kristina Krofft', 'Maraya Chase', 'Sophia Orkulas', 'Traci Mann', 'Walt Kubiak', 'Martin Sokol', 'Mark Richardson', 'Diana C. Skinner', 'Sheri Belfert', 'Bonnie Clarke', 'Heather Forsyth', 'Susan Jones', 'Trinity Loren', 'Sharon Mitchell', 'Phoebe Phaigh', 'Sandy Ruthowski', 'Nicole Vasilopoulos', 'Ryan Jones', 'Andy Jones', 'John Bausch', 'Gilbran Chong', 'Charlotte Kaufman', 'Lisbeth Kaufman', 'Shanah Richardson', 'Sherie Richardson', 'Cosimo Sherman', 'Josh Greenie', 'Brent Lichman', 'Wes Lichtman', 'Rocky Sherman', 'Jessi Woodhull', 'Shelby Shepard', 'Bullet Valmont', 'Liz Ard', 'Michael Cadava', 'Corey Hawk', 'Michael Herz', 'Lloyd Kaufman', 'Cynthia Windham']",['Eric Louzil'],"['Lloyd Kaufman', 'Carl Morano', 'Matt Unger']",96.0
3,Neil Diamond: Greatest Hits Live,1988.0,video movie,"['Documentary', 'Music']",8.0,81.0,['United States'],['English'],"['Neil Diamond', 'Richard Bennett', 'Vince Charles', 'King Errisson', 'Tom Hensley', 'Alan E. Lindgren', 'Linda Press', 'Reinie Press', 'Doug Rhone', 'Ronnie Tutt']","['Dwight Hemion', 'Peter Israelson']","['Kenny Solms', 'Ann Elder', 'Toem Perew']",55.0
4,7 Seconds,2005.0,video movie,"['Action', 'Comedy', 'Crime', 'Thriller']",4.8,7153.0,"['United Kingdom', 'Romania', 'Switzerland', 'United States']",['English'],"['Wesley Snipes', 'Tamzin Outhwaite', 'Deobia Oparei', 'Georgina Rylance', 'Pete Lee-Wilson', 'Serge Soric', 'Andrei Ionescu', 'Elias Ferkin', 'Bogdan Farkas', 'Tomi Cristin', 'Adrian Lukis', 'Stephen Boxer', 'Adrian Pintea', 'Corey Johnson', 'George Anton', 'Tamer Hassan', 'Lisa Lovbrand', 'Dan Badarau', 'William Armstrong', 'Martin Wheeler', 'Warren Derosa', 'Vasile Albinet', 'Zoltan Butuc', 'Radu Bânzaru', 'Florian Ghimpu', 'Hawk Younkins']",['Simon Fellows'],['Martin Wheeler'],118.0
5,By Dawn's Early Light,1990.0,tv movie,"['Action', 'Drama', 'Thriller']",7.1,2898.0,['United States'],"['English', 'Russian']","['Powers Boothe', 'Rebecca De Mornay', 'James Earl Jones', 'Martin Landau', 'Darren McGavin', 'Rip Torn', 'Jeffrey DeMunn', 'Peter MacNicol', 'Glenn Withrow', 'Ronald William Lawrence', 'Kieran Mulroney', 'Nicolas Coster', 'Ken Jenkins', 'Randal Patrick', 'Daniel Benzali', ""Robert O'Reilly"", 'Annabella Price', 'Ann Gillespie', 'Glenn Morshower', 'Dana Kimmell', 'Jon Paul Steuer', 'Danielle von Zerneck', 'Katherine Cortez', 'Jon Cedar', 'Paul Tompkins', 'Tony Rayner', 'Richard Speight Jr.', 'T.R. Marino', 'Steve Eastin', 'Steve Rankin', 'Mike Gomez', 'Scott Trost', 'Pat Skipper', 'Adrian Ricard', 'Douglas Tolbert', 'Bill Moynihan', 'Dagmar Stansova', 'Ray Nazzari', 'Richard Assad', 'Andrew Divoff']",['Jack Sholder'],"['William Prochnau', 'Bruce Gilbert']",58.0
6,Seeta Aur Geeta,1972.0,movie,"['Adventure', 'Comedy', 'Drama', 'Family', 'Musical', 'Romance']",6.8,1818.0,['India'],['Hindi'],"['Dharmendra', 'Sanjeev Kumar', 'Hema Malini', 'Manorama', 'Pratima Devi', 'Satyendra Kapoor', 'Kamal Kapoor', 'Ratnamala', 'Radhika Rani', 'Honey Irani', 'Dev Kishan', 'Alankar Joshi', 'Roopesh Kumar', 'Keshav Rana', 'Mushtaq Merchant', 'Deepak', 'M.B. Shetty', 'Suresh', 'Master Ravi', 'Abhi Bhattacharya', 'Asit Kumar Sen', 'Dulari', 'Asrani', 'Ashoo', 'Harbans Darshan M. Arora', 'Ravi Kumar', 'Mamaji', 'Surendra Rahi', 'Yasmin']",['Ramesh Sippy'],"['Javed Akhtar', 'Javed Akhtar', 'Satish Bhatnagar']",15.0
7,Strange Relations,2001.0,tv movie,"['Drama', 'Comedy']",7.6,768.0,"['United Kingdom', 'United States']",['English'],"['Paul Reiser', 'Amber Sealey', 'Lachele Carl', 'George Wendt', 'Catherine Porter', 'Todd Boyce', 'Olympia Dukakis', 'Nicola Barnfield', 'Mary Cunningham', 'Julie Walters', 'Amy Robbins', 'Gregory Fossard', 'Rowan Humphries', 'Tony Maudsley', 'Suzanne Hitchmough', 'Georgina Smith', 'Ricky Tomlinson', 'Ian Puleston-Davies', 'Christopher Wright', 'Marcel Vormawah-Jones', 'Lee Gilbert', 'Kenny Thompson', 'Terry Gilbert', 'David Heath', 'Stephanie Roscoe', 'Marie Higham', 'Gareth Turtle', 'Sarah Baxendale', 'Tim Kazurinsky', 'Mark Lawrence']",['Paul Seed'],['Tim Kazurinsky'],75.0
8,Sesame Street Presents: The Street We Live On,2004.0,episode,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music']",7.2,67.0,['United States'],"['English', 'Spanish']","['Sonia Manzano', 'Alan Muraoka', 'Roscoe Orman', 'Alison Bartlett', 'Emilio Delgado', 'Bob McGrath', 'Loretta Long', 'Desiree Casado', 'Olamide Faison', 'Caroll Spinney', 'Fran Brill', 'Kevin Clash', 'Jerry Nelson', 'Carmen Osbahr', 'Martin P. Robinson', 'David Rudman', 'Pam Arciero', 'Lisa Buckley', 'Bruce Connelly', ""Stephanie D'Abruzzo"", 'Eric Jacobson', 'Jennifer Barnhart', 'Jim Martin', 'Joey Mazzarino', 'John Tartaglia', 'Matt Vogel', 'Bryant Young', 'Steve Whitmire', 'Frank Oz', 'Christopher Cerf', 'Jim Thurman', 'Chris Becker', 'Harry Belafonte', 'Tony Bennett', 'Peter Buck', 'Northern Calloway', 'Anthony Daniels', 'Savion Glover', 'Whoopi Goldberg', 'Craig Good', 'Brian Gore', 'Seth Green', 'Jim Henson', 'Richard Hunt', 'Bill Irwin', 'Norah Jones', 'Madeline Kahn', 'Larry King', 'Will Lee', 'Bud Luckey', 'Paul McGinnis', 'Phil McGraw', 'Mike Mills', 'Mackenzie Milone', 'Miles Orman', 'Queen Latifah', 'Alaina Reed-Hall', 'Doris Roberts', 'Matt Robinson', 'Michael Stipe', 'Ruben Studdard', 'Lily Tomlin', 'William Wegman', 'John Williams III']","['Kevin Clash', 'Ken Diego', 'Victor DiNapoli']","['Molly Boylan', 'Annie Evans', 'Christine Ferraro']",205.0
9,Boycott,2001.0,tv movie,"['Drama', 'History']",7.2,901.0,['United States'],['English'],"['Jeffrey Wright', 'Terrence Howard', 'CCH Pounder', 'Carmen Ejogo', 'Reg E. Cathey', 'Brent Jennings', 'Iris Little Thomas', 'Shawn Michael Howard', 'Erik Dellums', 'Mike Hodge', 'Whitman Mayo', 'Walter Franks', 'Mert Hatfield', 'Tom Nowicki', 'Danny Nelson', 'E. Roger Mitchell', 'Heather Salmon', 'Clark Johnson', 'Jack Martin', 'Crystal Garrett', 'Thomas Jefferson Byrd', 'James Bigwood', 'Freda Scott Giles', 'Schveka Cooper-Brown', 'Ralph David Abernathy IV', 'Dan Biggers', 'Frank Hoyt Taylor', 'Toiya Thimbe Prather', 'Willy Andralliski', 'A.J. Jerrick', 'Sandra Ellis Lafferty', 'Ron Leggett', 'Ray Stoney', 'Lee Roy Giles', 'Elizabeth Omilami', 'Deborah Duke', 'Ginnie Randall', 'Robert C. Treveiler', 'Steve Coulter', 'Earl Potter', 'Michelle Benajmin-Patillo', 'Von Coulter', 'Omar J. Dorsey', 'Angela Elayne Gibbs', 'Geoffrey Williams', 'Willie Tennyson', 'Gerald Brown', 'James Mayberry', 'Richie Dye', 'Whitt Brantley', 'David Dwyer', 'Jeff Braun', 'Dolan Wilson', 'Lavon Lacey', 'James W. Holland', 'Janell McLeod', 'Aaron Neville', 'Heath Gunn', 'Sherri L. Walker', 'Patricia Gonzales', 'Molly Johnson', 'Ronald Elmer Johnson Jr.', 'Aja Kendall', 'L. Warren Young', 'Marion Nelson', 'Jeffrey Pratt Gordon', 'Darwin T. Hobbs', 'Cassi Davis', 'Fred D. Gray', 'Kenric Richardson', 'Tracey Wootson', 'Edith Ivey', 'Sylvester Jenkins', 'Bill Erwin', 'Shannon Welles', 'Ken Sands', 'Marion Guyot', 'Dwayne Boyd', 'Russell Durham Comegys', 'GlenNeta Griffin', 'Bernard Holyfield', 'Ted Huckabee', 'Rick Kamen', 'Robert M. Perez', 'Theodore Perkins', 'Ernest Peterson', 'Xavier Rivers', 'Gloria Sauve', 'Sherri ScottNovoa', 'Jim Suss', 'Joe Walsh', 'Steve Warren']",['Clark Johnson'],"['Stewart Burns', 'Herman Daniel Farrell', 'Timothy J. Sexton']",87.0
